img_name;folder;image;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10
Pieza_02_foto395;2;395;18.97203947368421;32.754934210526315;65.99506578947368;26.91611842105263;0.0;0.0;44.66282894736842;60.5921052631579;12.65625;17.401315789473685
Pieza_02_foto396;2;396;0.0;46.13715277777778;73.37673611111111;3.5850694444444446;0.0;0.0;47.994791666666664;62.46527777777778;7.638888888888889;21.692708333333332
Pieza_02_foto402;2;402;0.0;26.283967391304348;62.33016304347826;50.203804347826086;3.4239130434782608;0.0;74.66711956521739;75.01358695652173;91.08016304347827;96.4538043478261
Pieza_02_foto403;2;403;0.0;42.684151785714285;36.395089285714285;24.8046875;13.816964285714286;0.0;83.35379464285714;99.52008928571429;92.82924107142857;60.234375
Pieza_02_foto408;2;408;0.0;39.64673913043478;86.73913043478261;50.32608695652174;0.0;0.0;61.671195652173914;51.26358695652174;22.275815217391305;0.0
Pieza_02_foto409;2;409;24.65277777777778;48.333333333333336;12.858796296296296;21.70138888888889;49.230324074074076;44.84085648148148;64.18113425925925;18.015046296296298;56.35706018518518;54.30266203703704
Pieza_02_foto414;2;414;0.0;11.134868421052632;32.69736842105263;19.457236842105264;0.5427631578947368;0.0;26.52138157894737;53.86513157894737;32.03125;1.0608552631578947
Pieza_02_foto415;2;415;0.0;4.739583333333333;4.107142857142857;65.66220238095238;3.9211309523809526;0.0;37.11309523809524;71.28720238095238;81.38392857142857;19.53125
Pieza_02_foto420;2;420;38.94097222222222;2.7372685185185186;19.699074074074073;50.532407407407405;19.6875;13.020833333333334;44.467592592592595;23.09027777777778;59.664351851851855;13.4375
Pieza_02_foto421;2;421;7.486111111111111;30.555555555555557;24.114583333333332;49.59375;42.34375;32.638888888888886;19.70486111111111;45.43402777777778;61.47569444444444;38.91319444444444
Pieza_02_foto426;2;426;25.625;25.915178571428573;64.73214285714286;30.814732142857142;43.59375;0.0;30.401785714285715;100.0;10.245535714285714;0.0
Pieza_02_foto427;2;427;44.21875;44.21875;54.0625;19.111328125;24.0625;59.6875;64.7265625;97.63671875;1.6796875;0.0
Pieza_02_foto432;2;432;0.3194444444444444;36.06597222222222;33.236111111111114;53.239583333333336;42.604166666666664;22.76388888888889;36.49305555555556;44.40625;62.420138888888886;8.09375
Pieza_02_foto433;2;433;0.0;29.765625;71.455078125;16.5625;4.873046875;0.0;26.865234375;85.078125;0.927734375;0.0
Pieza_02_foto438;2;438;39.6875;41.111111111111114;44.765625;9.453125;18.90625;6.875;17.743055555555557;88.59375;3.7413194444444446;0.0
Pieza_02_foto439;2;439;0.32094594594594594;24.096283783783782;40.8910472972973;55.0464527027027;37.57179054054054;13.543074324324325;43.889358108108105;64.22297297297297;85.73902027027027;28.28125
Pieza_02_foto444;2;444;14.478125;55.284375;60.278125;8.3;54.8375;14.971875;75.659375;88.33125;1.784375;50.246875
Pieza_02_foto445;2;445;37.697916666666664;50.989583333333336;28.932291666666668;51.020833333333336;14.130208333333334;12.875;43.208333333333336;13.369791666666666;12.8125;2.1458333333333335
